date,_id,place_name,place_type,lat,lng,text
Wed Sep 30 14:56:37 +0000 2020,1311319042016325632,Camberwell,city,51.4918,-0.06509,"""Vegan sandwich"" in #London #UnitedKingdom https://t.co/76JKHRE7B5 #foodwaste #free"
Wed Sep 30 14:55:26 +0000 2020,1311318743117684736,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/eKf6KscWQ1 #foodwaste #free"
Wed Sep 30 14:55:19 +0000 2020,1311318713501659136,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/SgYwDoOxLJ #foodwaste #free"
Wed Sep 30 14:55:06 +0000 2020,1311318660057890816,Camberwell,city,51.4955,-0.09768,"""Tuna 🐟and cheese🧀 toastie 🥪"" in #London #UnitedKingdom https://t.co/6aDuRq1gDt #foodwaste #free"
Wed Sep 30 14:54:58 +0000 2020,1311318627996622852,Camberwell,city,51.4955,-0.09768,"""Tuna 🐟and cheese🧀 toastie 🥪"" in #London #UnitedKingdom https://t.co/3AtJ9yeVni #foodwaste #free"
Wed Sep 30 14:54:49 +0000 2020,1311318589182554114,Camberwell,city,51.4955,-0.09768,"""Fruit pot "" in #London #UnitedKingdom https://t.co/lSZlA7QmHc #foodwaste #free"
Wed Sep 30 14:54:36 +0000 2020,1311318534069399552,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/sqIc5JfGP9 #foodwaste #free"
Wed Sep 30 14:54:29 +0000 2020,1311318504457601025,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/dWSmCK9xBY #foodwaste #free"
Wed Sep 30 14:54:14 +0000 2020,1311318443585613824,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/KXIU30lnOt #foodwaste #free"
Wed Sep 30 14:54:04 +0000 2020,1311318402330394624,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/3SqTyTlUw0 #foodwaste #free"
Wed Sep 30 14:53:54 +0000 2020,1311318359405977605,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/mUrliOSfCX #foodwaste #free"
Wed Sep 30 14:53:54 +0000 2020,1311318358525194247,Norwich,city,52.6222,1.31158,"""Books"" in #Norwich #UnitedKingdom https://t.co/zLgYNRKbA5 #zerowaste #free"
Wed Sep 30 14:53:41 +0000 2020,1311318306318622720,Camberwell,city,51.4955,-0.09768,"""Tuna 🐟and cheese🧀 toastie 🥪"" in #London #UnitedKingdom https://t.co/YKW3yxInhN #foodwaste #free"
Wed Sep 30 14:53:36 +0000 2020,1311318283224862728,Merton,city,51.4042,-0.17677,"""Miscellaneous "" in #Mitcham #UnitedKingdom https://t.co/i5GPLPXkCW #zerowaste #free"
Wed Sep 30 14:53:33 +0000 2020,1311318270570618883,Camberwell,city,51.4955,-0.09768,"""Tuna 🐟and cheese🧀 toastie 🥪"" in #London #UnitedKingdom https://t.co/09u3rLbV47 #foodwaste #free"
Wed Sep 30 14:53:22 +0000 2020,1311318225620209665,Camberwell,city,51.4955,-0.09768,"""Tuna 🐟and cheese🧀 toastie 🥪"" in #London #UnitedKingdom https://t.co/fKxgEGN6AW #foodwaste #free"
Wed Sep 30 14:53:21 +0000 2020,1311318222432604160,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/5GYnoApIC3 #foodwaste #free"
Wed Sep 30 14:53:03 +0000 2020,1311318145114796033,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/DhxAz7RszS #foodwaste #free"
Wed Sep 30 14:52:54 +0000 2020,1311318107328319489,Camberwell,city,51.4955,-0.09768,"""Sandwich 🥪"" in #London #UnitedKingdom https://t.co/0h53jZ3tNZ #foodwaste #free"
Wed Sep 30 14:52:43 +0000 2020,1311318061702619137,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅croissant 🥐"" in #London #UnitedKingdom https://t.co/4iykrAxLdS #foodwaste #free"
Wed Sep 30 14:52:26 +0000 2020,1311317990110048258,Camberwell,city,51.4955,-0.09768,"""Food box "" in #London #UnitedKingdom https://t.co/MzOUYZ6aGH #foodwaste #free"
Wed Sep 30 14:52:25 +0000 2020,1311317984523083776,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/TLCbA3pK6N #foodwaste #free"
Wed Sep 30 14:51:55 +0000 2020,1311317860938059776,Camberwell,city,51.4955,-0.09768,"""cheese🧀and tomato🍅 toastie 🥪"" in #London #UnitedKingdom https://t.co/hESpHE85wh #foodwaste #free"
Wed Sep 30 14:51:45 +0000 2020,1311317816793075714,Camberwell,city,51.4955,-0.09768,"""Yogurt pot "" in #London #UnitedKingdom https://t.co/Ot3Va1Rc2v #foodwaste #free"
